,fz,purchasenumber,publishdate,startdata,enddata,placingway,customerinn,maxprice,okpdcode,okpdname,purchasobject,href
32,44,0176300006320000057,2020-12-01T12:38:28.352+03:00,"['2020-12-01', '12:38:28+03:00']","['2020-12-09', '09:00:00+03:00']",Электронный аукцион,0108003864,1191003,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300006320000057
33,44,0376300000120000297,2020-12-03T10:18:33.610+03:00,"['2020-12-03', '10:18:33+03:00']","['2020-12-11', '07:00:00+03:00']",Электронный аукцион,0105038964,2884437.31,10.12,"Мясо сельскохозяйственной птицы и прочие продукты убоя, включая консервированные",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000297
34,44,0376300000120000313,2020-12-04T15:31:35.472+03:00,"['2020-12-04', '15:31:35+03:00']","['2020-12-14', '07:00:00+03:00']",Электронный аукцион,0105038964,1191003,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000313
35,44,0176200005520001836,2020-12-10T13:08:53.403+03:00,"['2020-12-10', '13:08:53+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0105072228,450000,45.20,Услуги по техническому обслуживанию и ремонту автотранспортных средств,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001836
36,44,0176200005520001876,2020-12-15T12:03:54.436+03:00,"['2020-12-15', '12:03:54+03:00']","['2020-12-23', '09:00:00+03:00']",Электронный аукцион,0105072228,310000,62.03,Услуги по управлению компьютерным оборудованием,"в  соответствии с частью IV ""Техническая часть документации об электронном аукционе""",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001876
37,44,0176200005520001706,2020-12-02T09:22:48.332+03:00,"['2020-12-02', '09:22:48+03:00']","['2020-12-10', '09:00:00+03:00']",Электронный аукцион,0105072228,581954.18,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001706
38,44,0176200005520001773,2020-12-08T11:22:39.464+03:00,"['2020-12-08', '11:22:39+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,2094552.5,01.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001773
39,44,0376300021520000090,2020-12-09T14:33:28.180+03:00,"['2020-12-09', '14:33:28+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0104011222,2801871.86,,,Совместный аукцион на поставку  продуктов питания (бакалея)  ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300021520000090
40,44,0176200005520001782,2020-12-08T13:07:13.351+03:00,"['2020-12-08', '13:07:13+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,113799.96,84.25,Услуги по обеспечению безопасности в чрезвычайных ситуациях; услуги по обеспечению безопасности в области использования атомной энергии,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001782
41,44,0176200005520001927,2020-12-17T14:12:09.377+03:00,"['2020-12-17', '14:12:09+03:00']","['2020-12-25', '09:00:00+03:00']",Электронный аукцион,0105072228,5571050,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001927
42,44,0176200005520001840,2020-12-11T09:56:05.436+03:00,"['2020-12-11', '09:56:05+03:00']","['2020-12-21', '09:00:00+03:00']",Электронный аукцион,0105072228,349230,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001840
43,44,0176200005520001930,2020-12-18T09:53:41.374+03:00,"['2020-12-18', '09:53:41+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,5501767.04,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001930
44,44,0376100002720000045,2020-12-08T17:16:25.367+03:00,"['2020-12-08', '15:55:50+03:00']","['2020-12-16', '08:00:00+03:00']",Электронный аукцион,0105014177,1462492,58.29,Услуги по изданию прочего программного обеспечения,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376100002720000045
45,44,,2020-12-16T17:50:09.318+03:00,,,,,,,,,
46,44,0176200005520001937,2020-12-18T10:44:38.372+03:00,"['2020-12-18', '10:44:38+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,362000.04,33.20,Услуги по монтажу промышленных машин и оборудования,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001937
47,44,0376300000120000312,2020-12-04T15:16:14.340+03:00,"['2020-12-04', '15:16:14+03:00']","['2020-12-14', '07:00:00+03:00']",Электронный аукцион,0105038964,1191003,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000312
48,44,0176200005520001872,2020-12-17T12:27:25.390+03:00,"['2020-12-14', '17:18:56+03:00']","['2020-12-25', '09:00:00+03:00']",Электронный аукцион,0105072228,9690004.8,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001872
49,44,0176200005520001712,2020-12-02T10:00:19.437+03:00,"['2020-12-02', '10:00:19+03:00']","['2020-12-10', '09:00:00+03:00']",Электронный аукцион,0105072228,231920.28,61.90,Услуги телекоммуникационные прочие,Оказание телематических услуг связи и услуг связи по передаче данных,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001712
50,44,0376100002720000044,2020-12-08T12:53:58.430+03:00,"['2020-12-08', '12:53:58+03:00']","['2020-12-16', '08:00:00+03:00']",Электронный аукцион,0105014177,2914349.41,26.20,Компьютеры и периферийное оборудование,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376100002720000044
51,44,0376300000120000298,2020-12-03T13:28:58.080+03:00,"['2020-12-03', '13:28:58+03:00']","['2020-12-11', '07:00:00+03:00']",Электронный аукцион,0105038964,3182473.6,01.47,Птица сельскохозяйственная живая и яйца,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000298
52,44,0176200005520001929,2020-12-18T09:52:36.390+03:00,"['2020-12-18', '09:52:36+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,45000,62.02,"Услуги консультативные, связанные с компьютерной техникой","Оказание услуг по программно-технической поддержке и сопровождению программ «1С:Бухгалтерия государственного учреждения 8»,  «1С:Зарплата и кадры государственного учреждения 8» в филиале ГКУ РА ""АРЦЗН"" в Красногвардейском районе",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001929
53,44,,2020-12-18T14:56:29.377+03:00,,,,,,,,,
54,44,0276100000220000088,2020-12-18T16:10:28.330+03:00,"['2020-12-18', '16:10:28+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105018326,272850,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0276100000220000088
55,44,,2020-12-01T22:03:53.398+03:00,,,,,,,,,
56,44,0176200005520001907,2020-12-16T11:48:59.338+03:00,"['2020-12-16', '11:48:59+03:00']","['2020-12-24', '09:00:00+03:00']",Электронный аукцион,0105072228,163800,84.25,Услуги по обеспечению безопасности в чрезвычайных ситуациях; услуги по обеспечению безопасности в области использования атомной энергии,Оказание услуг по техническому обслуживанию пожарной сигнализации на объектах ГБУЗ РА «Кошехабльская центральная районная больница»,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001907
57,44,0376300000120000330,2020-12-16T16:30:59.380+03:00,"['2020-12-16', '16:30:59+03:00']","['2020-12-25', '08:00:00+03:00']",Электронный аукцион,0105038964,241536,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000330
58,44,0176300004720000087,2020-12-17T18:13:17.364+03:00,"['2020-12-16', '11:18:31+03:00']","['2020-12-25', '09:00:00+03:00']",Электронный аукцион,0103007791,6600000,71.11,Услуги в области архитектуры,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004720000087
59,44,0176200005520001931,2020-12-18T09:54:37.380+03:00,"['2020-12-18', '09:54:37+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,1525585.32,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001931
60,44,,2020-12-18T17:07:36.332+03:00,,,,,,,,,
61,44,0376300000120000300,2020-12-04T11:00:40.366+03:00,"['2020-12-04', '11:00:40+03:00']","['2020-12-14', '07:00:00+03:00']",Электронный аукцион,0105038964,1191003,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000300
62,44,0176200005520001807,2020-12-09T12:32:34.338+03:00,"['2020-12-09', '12:32:34+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0105072228,427236,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001807
63,44,0176200005520001894,2020-12-16T09:39:02.412+03:00,"['2020-12-16', '09:39:02+03:00']","['2020-12-24', '09:00:00+03:00']",Электронный аукцион,0105072228,744580.8,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001894
64,44,0176200005520001805,2020-12-09T12:02:46.388+03:00,"['2020-12-09', '12:02:46+03:00']","['2020-12-17', '09:00:00+03:00']",Электронный аукцион,0105072228,376995,10.20,"Рыба переработанная и консервированная, ракообразные и моллюски",Поставка продуктов питания (рыбные консервы),https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001805
65,44,0176200005520001939,2020-12-18T11:43:46.432+03:00,"['2020-12-18', '11:43:46+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,1067500.44,43.21,Работы электромонтажные,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001939
66,44,0176200005520001789,2020-12-09T09:32:42.370+03:00,"['2020-12-09', '09:32:42+03:00']","['2020-12-17', '09:00:00+03:00']",Электронный аукцион,0105072228,461970,10.51,Молоко и молочная продукция,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001789
67,44,0176300004720000078,2020-12-15T15:44:03.726+03:00,"['2020-12-15', '15:44:03+03:00']","['2020-12-23', '10:00:00+03:00']",Электронный аукцион,0103007791,144401,10.20,"Рыба переработанная и консервированная, ракообразные и моллюски",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004720000078
68,44,0176100002320000020,2020-12-03T20:29:14.371+03:00,"['2020-12-03', '20:29:14+03:00']","['2020-12-11', '08:00:00+03:00']",Электронный аукцион,0105020332,278261.8,26.20,Компьютеры и периферийное оборудование,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100002320000020
69,44,,2020-12-01T19:20:13.637+03:00,,,,,,,,,
70,44,0176200005520001835,2020-12-10T13:01:44.419+03:00,"['2020-12-10', '13:01:44+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0105072228,421895.64,62.02,"Услуги консультативные, связанные с компьютерной техникой","Услуги по сопровождению Электронного периодического справочника «Система Гарант» (информационного продукта вычислительной техники), содержащего информацию о текущем состоянии законодательства Российской Федерации.",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001835
71,44,0176100002320000018,2020-12-02T18:33:33.341+03:00,"['2020-12-02', '17:39:34+03:00']","['2020-12-10', '08:00:00+03:00']",Электронный аукцион,0105020332,53413.33,25.99,"Металлоизделия готовые прочие, не включенные в другие группировки",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100002320000018
72,44,0176200005520001748,2020-12-04T17:05:03.771+03:00,"['2020-12-04', '17:05:03+03:00']","['2020-12-14', '09:00:00+03:00']",Электронный аукцион,0105072228,3015441.66,01.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001748
73,44,0376100000420000046,2020-12-14T11:36:03.427+03:00,"['2020-12-14', '11:36:03+03:00']","['2020-12-22', '09:00:00+03:00']",Электронный аукцион,0105044421,97251.29,20.59,"Продукты химические прочие, не включенные в другие группировки",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376100000420000046
74,44,0176200005520001895,2020-12-16T09:56:01.463+03:00,"['2020-12-16', '09:56:01+03:00']","['2020-12-25', '09:00:00+03:00']",Электронный аукцион,0105072228,2175100,32.50,Инструменты и оборудование медицинские,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001895
75,44,0376300000120000326,2020-12-11T15:07:17.877+03:00,"['2020-12-11', '15:07:17+03:00']","['2020-12-21', '07:00:00+03:00']",Электронный аукцион,0105038964,7021477.5,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000326
76,44,,2020-12-17T15:20:39.346+03:00,,,,,,,,,
77,44,0176300004020000007,2020-12-01T16:30:08.320+03:00,"['2020-12-01', '16:30:08+03:00']","['2020-12-15', '11:00:00+03:00']",Электронный аукцион,0101005774,546000,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004020000007
78,44,0176200005520001899,2020-12-16T10:23:06.374+03:00,"['2020-12-16', '10:23:06+03:00']","['2020-12-24', '09:00:00+03:00']",Электронный аукцион,0105072228,624660.2,86.90,Услуги в области медицины прочие,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001899
79,44,0376300005320000032,2020-12-04T13:37:49.615+03:00,"['2020-12-04', '13:37:49+03:00']","['2020-12-14', '08:00:00+03:00']",Электронный аукцион,0107007270,291380.72,10.20,"Рыба переработанная и консервированная, ракообразные и моллюски",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300005320000032
80,44,0176200005520001757,2020-12-07T11:58:48.588+03:00,"['2020-12-07', '11:58:48+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,1403177.2,10.51,Молоко и молочная продукция,Поставка продуктов питания (творог),https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001757
81,44,0176200005520001694,2020-12-01T09:50:05.442+03:00,"['2020-12-01', '09:50:05+03:00']","['2020-12-09', '09:00:00+03:00']",Электронный аукцион,0105072228,496360,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001694
82,44,0176200005520001889,2020-12-17T09:29:11.393+03:00,"['2020-12-15', '13:18:52+03:00']","['2020-12-25', '09:00:00+03:00']",Электронный аукцион,0105072228,43661.82,62.02,"Услуги консультативные, связанные с компьютерной техникой",Оказание услуг по сопровождению Электронного периодического справочника (информационного продукта вычислительной техники),https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001889
83,44,0176200005520001848,2020-12-11T11:21:19.367+03:00,"['2020-12-11', '11:21:19+03:00']","['2020-12-21', '09:00:00+03:00']",Электронный аукцион,0105072228,18000,33.12,Услуги по ремонту оборудования,"Оказание услуг по техническому обслуживанию системы автоматической пожарной сигнализации в Филиале государственного казенного учреждения Республики Адыгея ""Адыгейский республиканский центр занятости населения"" в Красногвардейском районе",https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001848
84,44,0176100003520000038,2020-12-01T18:02:01.398+03:00,"['2020-12-01', '18:02:01+03:00']","['2020-12-09', '09:43:00+03:00']",Электронный аукцион,0105047422,52000,26.20,Компьютеры и периферийное оборудование,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100003520000038
85,44,0376300021520000093,2020-12-16T10:49:43.854+03:00,"['2020-12-16', '10:49:43+03:00']","['2020-12-24', '09:00:00+03:00']",Электронный аукцион,0104011222,3332987.88,10.51,Молоко и молочная продукция,Совместный аукцион на поставку  продуктов питания (масло сливочное)  ,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300021520000093
86,44,0176200005520001759,2020-12-07T12:41:39.655+03:00,"['2020-12-07', '12:41:39+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,193992,62.09,Услуги в области информационных технологий прочие и компьютерные услуги,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001759
87,44,,2020-12-11T17:39:29.370+03:00,,,,,,,,,
88,44,0176200005520001785,2020-12-08T13:35:56.384+03:00,"['2020-12-08', '13:35:56+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,377696,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001785
89,44,0376300000120000315,2020-12-04T16:02:44.346+03:00,"['2020-12-04', '16:02:44+03:00']","['2020-12-14', '07:00:00+03:00']",Электронный аукцион,0105038964,1191003,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000315
